token_id,formatted_attributes
8760,"Fur:White Noise, Clothes:Trippy Tee, Mouth:Kiss, Eyes:Angry, Head:Ski Glasses, Shooting:35, Defense:52, Vision:44, Finish:41"
1858,"Fur:White Noise, Clothes:Striped Tee, Mouth:Regular, Eyes:Wide, Head:Chopsticks Bun, Shooting:51, Defense:62, Vision:30, Finish:71"
3509,"Fur:Pink, Clothes:RKL Tee, Mouth:Ooh, Eyes:Sad, Shooting:33, Defense:70, Vision:16, Finish:34"
5857,"Fur:Pink, Mouth:Ooh, Eyes:Closed Scar, Head Accessory:Exotic Earring, Shooting:61, Defense:78, Vision:52, Finish:52"
5353,"Fur:Brown, Clothes:Shirt And Tie, Mouth:Regular, Eyes:Bloodshot, Head Accessory:Red Shades, Head:Purple Bandana, Shooting:55, Defense:83, Vision:27, Finish:60"
1359,"Fur:Green, Clothes:Dego Tee Blooded, Mouth:Regular, Eyes:Regular, Head:King Band, Shooting:63, Defense:31, Vision:59, Finish:44"
3009,"Fur:Brown, Clothes:Biker Jacket, Mouth:Ooh, Eyes:Angry Wink, Shooting:47, Defense:43, Vision:15, Finish:38"
3995,"Fur:Black, Mouth:Regular, Eyes:Angry Scar, Head Accessory:Blue Shades, Head:Beanie, Shooting:30, Defense:28, Vision:72, Finish:46"
2974,"Fur:Pink, Clothes:Hawaii Shirt, Mouth:Tongue Out, Eyes:Wide Scar, Shooting:35, Defense:53, Vision:46, Finish:61"
9177,"Fur:Green, Clothes:Cheetah Dego Tee, Mouth:Shows Teeth, Eyes:Wide, Shooting:40, Defense:68, Vision:36, Finish:70"
7760,"Fur:Pink, Clothes:Cyan Jersey, Mouth:Kiss, Eyes:Wide, Head Accessory:Gold Stud, Shooting:37, Defense:47, Vision:59, Finish:28"
8306,"Fur:Red, Mouth:Gold Scream, Eyes:Angry Wink, Head:Beanie, Shooting:69, Defense:38, Vision:97, Finish:36"
7990,"Fur:Grey, Mouth:Saber Toothed, Eyes:Closed, Head:Chopsticks Bun, Shooting:18, Defense:43, Vision:46, Finish:52"
8964,"Fur:Brown, Clothes:Dego Tee Blooded, Mouth:Gold Saber Toothed, Eyes:Closed, Shooting:55, Defense:48, Vision:32, Finish:32"
859,"Fur:Pink, Clothes:Shaolin Vest, Mouth:Scream, Eyes:Closed Scar, Head:Bowler, Shooting:52, Defense:55, Vision:48, Finish:29"
136,"Fur:Grey, Mouth:Shows Teeth, Eyes:Regular, Head:Ski Glasses, Shooting:42, Defense:37, Vision:51, Finish:48"
736,"Fur:Sky Blue, Clothes:White Tee, Mouth:Regular, Eyes:Closed Scar, Head Accessory:Broken Glasses, Head:Green Beret, Shooting:37, Defense:93, Vision:17, Finish:54"
4807,"Fur:Pink, Clothes:Hawaii Shirt, Mouth:Drool, Eyes:Wide, Shooting:69, Defense:47, Vision:24, Finish:38"
1581,"Fur:White Noise, Clothes:Cheetah Dego Tee, Mouth:Drool, Eyes:Wide, Head Accessory:Gold Stud, Head:Cap Forward, Shooting:43, Defense:41, Vision:29, Finish:43"
9157,"Fur:Red, Clothes:Biker Jacket, Mouth:Drool, Eyes:Sad, Head:King Band, Shooting:42, Defense:58, Vision:58, Finish:51"
8538,"Fur:Green, Clothes:Cheetah Dego Tee, Mouth:Scream, Eyes:Bloodshot, Head:Bowler, Shooting:62, Defense:34, Vision:41, Finish:29"
5732,"Fur:White Noise, Clothes:Hawaii Shirt, Mouth:Cigar, Eyes:Wide Scar, Head:RKL Cap Sideways, Shooting:50, Defense:58, Vision:52, Finish:48"
4790,"Fur:Green, Clothes:Fusion Gi, Mouth:Referee, Eyes:Angry, Head:Beanie, Shooting:41, Defense:84, Vision:44, Finish:62"
8552,"Fur:White Noise, Clothes:Striped Tee, Mouth:Kiss, Eyes:Bloodshot, Shooting:72, Defense:79, Vision:67, Finish:63"
2760,"Fur:Sky Blue, Mouth:Scream, Eyes:Angry, Shooting:54, Defense:49, Vision:54, Finish:36"
2504,"Fur:Brown, Clothes:White Tee, Mouth:Kiss, Eyes:Regular, Head:Green Beret, Shooting:67, Defense:65, Vision:40, Finish:45"
3988,"Fur:Pink, Clothes:Biker Jacket, Mouth:Regular, Eyes:Angry Wink, Head Accessory:Red Shades, Shooting:34, Defense:41, Vision:45, Finish:44"
6059,"Fur:Pink, Clothes:White Tee, Mouth:Shows Teeth, Eyes:Wide, Head:King Band, Shooting:66, Defense:69, Vision:62, Finish:45"
3767,"Fur:Black, Mouth:Scream, Eyes:Regular, Head:Purple Bandana, Shooting:54, Defense:35, Vision:61, Finish:42"
5328,"Fur:Pink, Clothes:Trippy Tee, Mouth:Saber Toothed, Eyes:Closed, Head:RKL Cap Sideways, Shooting:42, Defense:66, Vision:51, Finish:33"
2584,"Fur:Brown, Clothes:Shaolin Vest, Mouth:Kiss, Eyes:Angry, Shooting:33, Defense:52, Vision:40, Finish:53"
4312,"Fur:Sky Blue, Clothes:Navy Suit, Mouth:Regular, Eyes:Closed, Shooting:50, Defense:46, Vision:36, Finish:37"
6507,"Fur:Black, Clothes:Red Kimono, Mouth:Kiss, Eyes:Wide, Head:Blonde Bun, Shooting:47, Defense:73, Vision:38, Finish:41"
8152,"Fur:Grey, Clothes:Green Kimono, Mouth:Cigar, Eyes:Regular, Head:Green Beret, Shooting:56, Defense:52, Vision:73, Finish:67"
2679,"Fur:Red, Clothes:Shaolin Vest, Mouth:Regular, Eyes:Sad, Head:RKL Cap Sideways, Shooting:48, Defense:67, Vision:33, Finish:27"
2431,"Fur:Sky Blue, Clothes:Dego Tee Blooded, Mouth:Ooh, Eyes:Angry Wink, Head Accessory:Vibe Glasses, Head:Cap Forward, Shooting:19, Defense:26, Vision:57, Finish:55"
9773,"Fur:Brown, Clothes:Navy Suit, Mouth:Gold Smirk, Eyes:Wide, Head:Red Bandana, Shooting:93, Defense:44, Vision:40, Finish:41"
3745,"Fur:Black, Clothes:Cheetah Dego Tee, Mouth:Gold Scream, Eyes:Angry, Head:RKL Cap Forward, Shooting:47, Defense:91, Vision:0, Finish:34"
2871,"Fur:White Noise, Clothes:Hawaii Shirt, Mouth:Saber Toothed, Eyes:Wide, Head Accessory:Gold Stud, Head:Blue Pigtails, Shooting:45, Defense:75, Vision:79, Finish:48"
3064,"Fur:Red, Clothes:Shaolin Vest, Mouth:Referee, Eyes:Angry Wink, Head:Winter Hat, Shooting:62, Defense:51, Vision:56, Finish:36"
4797,"Fur:Red, Clothes:Striped Tee, Mouth:Ooh, Eyes:Closed, Shooting:74, Defense:61, Vision:88, Finish:38"
9150,"Fur:Green, Clothes:Fusion Gi, Mouth:Kiss, Eyes:Angry, Head:Purple Bandana, Shooting:37, Defense:36, Vision:49, Finish:39"
7310,"Fur:Black, Mouth:Kiss, Eyes:Angry, Head:RKL Cap Sideways, Shooting:58, Defense:58, Vision:32, Finish:70"
8200,"Fur:White Noise, Clothes:Tracksuit, Mouth:Tongue Out, Eyes:Angry Scar, Head Accessory:Vibe Glasses, Shooting:25, Defense:47, Vision:63, Finish:60"
7938,"Fur:White Noise, Clothes:Hawaii Shirt, Mouth:Referee, Eyes:Sad, Head Accessory:Blue Shades, Shooting:48, Defense:41, Vision:57, Finish:63"
101,"Fur:Grey, Mouth:Regular, Eyes:Angry Scar, Head Accessory:Gem Earring, Shooting:51, Defense:53, Vision:71, Finish:55"
9954,"Fur:Green, Clothes:Trippy Tee, Mouth:Saber Toothed, Eyes:Wide, Head:Chopsticks Bun, Shooting:60, Defense:36, Vision:43, Finish:56"
8138,"Fur:Pink, Mouth:Gold Saber Toothed, Eyes:Regular, Shooting:32, Defense:68, Vision:41, Finish:53"
9256,"Fur:White Noise, Clothes:Hawaii Shirt, Mouth:Regular, Eyes:Angry, Head:Russian Cap, Shooting:47, Defense:57, Vision:59, Finish:43"
5915,"Fur:Black, Mouth:Full Beard, Eyes:Wide Scar, Head Accessory:3D Glasses, Shooting:59, Defense:44, Vision:47, Finish:77"
6015,"Fur:Sky Blue, Clothes:Striped Tee, Mouth:Regular, Eyes:Wide, Shooting:36, Defense:57, Vision:59, Finish:36"
3614,"Fur:Brown, Clothes:Shaolin Vest, Mouth:Shows Teeth, Eyes:Sad, Shooting:37, Defense:56, Vision:37, Finish:29"
8063,"Fur:Green, Clothes:Shirt And Tie, Mouth:Saber Toothed, Eyes:Angry, Shooting:61, Defense:60, Vision:49, Finish:59"
1780,"Fur:Green, Clothes:Green Kimono, Mouth:Shows Teeth, Eyes:Regular, Head:Russian Cap, Shooting:51, Defense:54, Vision:46, Finish:60"
5006,"Fur:Brown, Mouth:Shows Teeth, Eyes:Wide, Shooting:37, Defense:56, Vision:62, Finish:44"
9281,"Fur:Pink, Clothes:Biker Jacket, Mouth:Shows Teeth, Eyes:Angry Scar, Head:Red Bandana, Shooting:73, Defense:45, Vision:64, Finish:41"
9500,"Fur:Grey, Clothes:Striped Tee, Mouth:Kiss, Eyes:Angry Wink, Shooting:60, Defense:22, Vision:44, Finish:38"
4129,"Fur:Grey, Clothes:Dress, Mouth:Full Beard, Eyes:Regular, Head Accessory:Red Shades, Head:Blonde Bun, Shooting:74, Defense:55, Vision:68, Finish:30"
8699,"Fur:Brown, Mouth:Gold Smirk, Eyes:Wide Scar, Head:RKL Cap Sideways, Shooting:56, Defense:45, Vision:52, Finish:38"
853,"Fur:Grey, Clothes:Shirt And Tie, Mouth:Regular, Eyes:Angry Wink, Head:Purple Bandana, Shooting:43, Defense:45, Vision:62, Finish:39"
2185,"Fur:Brown, Clothes:Biker Jacket, Mouth:Gold Scream, Eyes:Wide, Head Accessory:Gem Earring, Head:Winter Hat, Shooting:32, Defense:43, Vision:58, Finish:60"
3321,"Fur:Pink, Clothes:Hawaii Shirt, Mouth:Scream, Eyes:Regular, Head:RKL Cap Sideways, Shooting:63, Defense:42, Vision:37, Finish:39"
7331,"Fur:Grey, Clothes:Dego Tee Blooded, Mouth:Shows Teeth, Eyes:Regular, Head Accessory:Monocle, Shooting:52, Defense:22, Vision:44, Finish:72"
5746,"Fur:Grey, Clothes:Cheetah Dego Tee, Mouth:Regular, Eyes:Sad, Head:Purple Bandana, Shooting:51, Defense:39, Vision:28, Finish:57"
4739,"Fur:Black, Mouth:Gold Saber Toothed, Eyes:Regular, Head:RKL Cap Sideways, Shooting:62, Defense:62, Vision:64, Finish:35"
4702,"Fur:Grey, Clothes:Shirt And Tie, Mouth:Tongue Out, Eyes:Wide, Head Accessory:Red Shades, Shooting:70, Defense:57, Vision:36, Finish:52"
9920,"Fur:Sky Blue, Clothes:Dress, Mouth:Drool, Eyes:Wide Scar, Head:Red Bandana, Shooting:43, Defense:49, Vision:55, Finish:36"
1097,"Fur:Sky Blue, Clothes:Striped Tee, Mouth:Scream, Eyes:Angry Scar, Head Accessory:Gold Stud, Head:RKL Cap Sideways, Shooting:61, Defense:67, Vision:38, Finish:72"
3539,"Fur:Black, Mouth:Gold Smirk, Eyes:Wide, Head:Beanie, Shooting:51, Defense:57, Vision:47, Finish:33"
2810,"Fur:Sky Blue, Clothes:Shaolin Vest, Mouth:Regular, Eyes:Closed, Shooting:44, Defense:58, Vision:32, Finish:38"
1039,"Fur:Red, Mouth:Regular, Eyes:Bloodshot, Head:Blue Pigtails, Shooting:61, Defense:38, Vision:38, Finish:84"
5178,"Fur:Green, Clothes:Cyan Jersey, Mouth:Saber Toothed, Eyes:Closed Scar, Head:Bowler, Shooting:67, Defense:44, Vision:38, Finish:50"
8366,"Fur:White Noise, Clothes:Shaolin Vest, Mouth:Ooh, Eyes:Sad, Head Accessory:Red Shades, Head:King Band, Shooting:19, Defense:21, Vision:36, Finish:47"
4462,"Fur:Green, Clothes:Yellow Suit, Mouth:Regular, Eyes:Regular, Head:Blue Pigtails, Shooting:69, Defense:42, Vision:56, Finish:48"
1162,"Fur:Grey, Clothes:Red Kimono, Mouth:Shows Teeth, Eyes:Angry Wink, Head:King Band, Shooting:54, Defense:68, Vision:59, Finish:48"
2724,"Fur:Pink, Mouth:Gold Saber Toothed, Eyes:Wide Scar, Shooting:69, Defense:57, Vision:32, Finish:59"
1409,"Fur:Sky Blue, Clothes:Biker Jacket, Mouth:Regular, Eyes:Regular, Head Accessory:Red Shades, Head:Bowler, Shooting:30, Defense:48, Vision:48, Finish:55"
3706,"Fur:Brown, Mouth:Regular, Eyes:Angry, Head:Winter Hat, Shooting:36, Defense:43, Vision:52, Finish:36"
2868,"Fur:Black, Clothes:Hawaii Shirt, Mouth:Regular, Eyes:Angry Wink, Head Accessory:3D Glasses, Head:Blue Pigtails, Shooting:60, Defense:55, Vision:41, Finish:35"
4555,"Fur:Pink, Clothes:Cyan Jersey, Mouth:Gold Smirk, Eyes:Angry, Head Accessory:3D Glasses, Shooting:74, Defense:57, Vision:33, Finish:39"
1920,"Fur:Black, Clothes:White Tee, Mouth:Regular, Eyes:Angry Scar, Head Accessory:Gem Earring, Head:Cap Forward, Shooting:16, Defense:58, Vision:51, Finish:33"
5650,"Fur:Grey, Clothes:Trippy Tee, Mouth:Kiss, Eyes:Bloodshot, Head Accessory:Blue Shades, Head:Blonde Bun, Shooting:46, Defense:71, Vision:42, Finish:82"
3600,"Fur:Sky Blue, Clothes:Striped Tee, Mouth:Regular, Eyes:Angry Scar, Head Accessory:Broken Glasses, Head:Russian Cap, Shooting:75, Defense:20, Vision:69, Finish:47"
4350,"Fur:Grey, Clothes:Trippy Tee, Mouth:Kiss, Eyes:Wide, Head Accessory:Monocle, Head:Winter Hat, Shooting:40, Defense:43, Vision:40, Finish:71"
6690,"Fur:Grey, Clothes:Shirt And Tie, Mouth:Saber Toothed, Eyes:Wide, Head:King Band, Shooting:49, Defense:50, Vision:34, Finish:30"
3753,"Fur:Sky Blue, Clothes:White Tee, Mouth:Tongue Out, Eyes:Bloodshot, Head:Blonde Bun, Shooting:42, Defense:50, Vision:46, Finish:49"
9876,"Fur:Pink, Clothes:Trippy Tee, Mouth:Saber Toothed, Eyes:Sad, Shooting:36, Defense:28, Vision:60, Finish:49"
5144,"Fur:Pink, Clothes:Striped Tee, Mouth:Drool, Eyes:Angry, Shooting:81, Defense:14, Vision:54, Finish:59"
5718,"Fur:Brown, Clothes:Dress, Mouth:Full Beard, Eyes:Wide, Shooting:47, Defense:72, Vision:73, Finish:29"
4454,"Fur:Black, Clothes:Biker Jacket, Mouth:Kiss, Eyes:Closed, Head:Chopsticks Bun, Shooting:39, Defense:43, Vision:34, Finish:38"
9344,"Fur:Black, Clothes:Tracksuit, Mouth:Gold Scream, Eyes:Closed Scar, Head:Ski Glasses, Shooting:59, Defense:79, Vision:44, Finish:67"
910,"Fur:Red, Clothes:Hawaii Shirt, Mouth:Shows Teeth, Eyes:Closed Scar, Head Accessory:Vibe Glasses, Head:RKL Cap Forward, Shooting:54, Defense:70, Vision:47, Finish:44"
5324,"Fur:Pink, Clothes:Shaolin Vest, Mouth:Scream, Eyes:Angry Wink, Head:Bowler, Shooting:56, Defense:34, Vision:30, Finish:34"
6840,"Fur:Green, Clothes:Trippy Tee, Mouth:Regular, Eyes:Angry Wink, Shooting:57, Defense:67, Vision:89, Finish:71"
5433,"Fur:Black, Clothes:Hawaii Shirt, Mouth:Kiss, Eyes:Angry Wink, Shooting:41, Defense:52, Vision:57, Finish:28"
6647,"Fur:Sky Blue, Clothes:Cheetah Dego Tee, Mouth:Shows Teeth, Eyes:Regular, Head Accessory:Broken Glasses, Head:Purple Bandana, Shooting:55, Defense:44, Vision:22, Finish:47"
5808,"Fur:Red, Clothes:Trippy Tee, Mouth:Kiss, Eyes:Wide, Head:Blue Pigtails, Shooting:50, Defense:49, Vision:38, Finish:59"
5216,"Fur:Green, Clothes:Dress, Mouth:Scream, Eyes:Regular, Shooting:66, Defense:68, Vision:58, Finish:66"
4320,"Fur:Pink, Clothes:Dress, Mouth:Gold Saber Toothed, Eyes:Closed Scar, Head:Red Bandana, Shooting:70, Defense:71, Vision:37, Finish:84"
4729,"Fur:Green, Mouth:Scream, Eyes:Closed, Shooting:28, Defense:41, Vision:34, Finish:64"
4109,"Fur:Grey, Clothes:Trippy Tee, Mouth:Regular, Eyes:Angry Scar, Head:Bowler, Shooting:58, Defense:60, Vision:32, Finish:33"
4791,"Fur:Sky Blue, Clothes:Striped Tee, Mouth:Regular, Eyes:Angry, Head:Blonde Bun, Shooting:36, Defense:47, Vision:65, Finish:76"
9674,"Fur:Black, Mouth:Shows Teeth, Eyes:Wide, Head:Cap Forward, Shooting:58, Defense:44, Vision:46, Finish:57"
3197,"Fur:Brown, Clothes:Dress, Mouth:Kiss, Eyes:Closed, Head Accessory:Blue Shades, Head:Blonde Bun, Shooting:31, Defense:61, Vision:77, Finish:69"
596,"Fur:Black, Mouth:Drool, Eyes:Regular, Shooting:65, Defense:83, Vision:57, Finish:55"
1339,"Fur:Grey, Mouth:Saber Toothed, Eyes:Wide Scar, Shooting:44, Defense:53, Vision:53, Finish:50"
8625,"Fur:Grey, Clothes:Hawaii Shirt, Mouth:Saber Toothed, Eyes:Bloodshot, Shooting:77, Defense:68, Vision:59, Finish:60"
